Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
9.493,0.088000,2.224000,0.533000,2.469000,0.197000,1.258000,0.888000,0.738000,3.361000,0.985000,1.082000,0.092000,-0.031000,0.000000
9.549,0.219000,2.258000,0.567000,2.469000,0.263000,1.258000,0.562000,0.673000,3.361000,0.920000,1.082000,-0.031000,0.000000,0.000000
9.633,0.120000,2.292000,0.499000,2.806000,0.288000,1.193000,0.606000,0.640000,3.427000,0.920000,1.147000,-0.031000,0.031000,-0.031000
9.683,0.120000,2.326000,0.533000,2.503000,0.230000,1.193000,0.660000,0.608000,3.361000,0.953000,1.049000,-0.031000,0.031000,0.000000
9.725,0.186000,2.258000,0.601000,2.603000,0.230000,1.323000,0.595000,0.738000,3.394000,1.051000,1.049000,0.000000,-0.031000,-0.031000
9.805,0.153000,2.258000,0.601000,2.503000,0.230000,1.323000,0.562000,0.640000,3.394000,0.953000,1.082000,0.000000,0.000000,0.000000
9.854,0.153000,2.600000,0.634000,2.503000,0.321000,1.258000,0.660000,0.673000,3.461000,0.953000,1.082000,-0.031000,0.000000,0.063000
9.895,0.153000,2.258000,0.533000,2.469000,0.255000,1.225000,0.573000,0.640000,3.394000,0.920000,1.082000,-0.031000,0.000000,-0.031000
9.973,0.153000,2.360000,0.567000,2.569000,0.263000,1.323000,0.562000,0.738000,3.328000,0.953000,1.049000,-0.031000,0.102000,-0.031000
10.020,0.153000,2.360000,0.567000,2.537000,0.230000,1.193000,0.573000,0.608000,3.361000,0.985000,1.049000,0.000000,-0.031000,0.063000
10.110,0.219000,2.258000,0.598000,2.569000,0.321000,1.193000,0.692000,0.608000,3.361000,0.953000,1.049000,0.030000,-0.031000,0.000000
10.139,0.120000,2.258000,0.567000,2.503000,0.197000,1.225000,0.541000,0.640000,3.394000,0.920000,1.114000,-0.031000,0.040000,0.000000
10.265,0.120000,2.360000,0.533000,2.603000,0.230000,1.291000,0.562000,0.705000,3.361000,0.920000,1.114000,-0.031000,0.000000,0.000000
10.354,0.120000,2.258000,0.567000,2.503000,0.263000,1.193000,0.529000,0.705000,3.361000,1.018000,1.049000,0.030000,0.000000,0.095000
10.385,0.219000,2.258000,0.632000,2.537000,0.321000,1.225000,0.573000,0.608000,3.361000,0.985000,1.049000,0.000000,0.226000,-0.031000
10.448,0.153000,2.258000,0.533000,2.537000,0.197000,1.225000,0.627000,0.608000,3.454000,0.920000,1.114000,0.000000,0.071000,-0.031000
10.512,0.153000,2.326000,0.567000,2.571000,0.230000,1.258000,0.529000,0.640000,3.420000,0.953000,1.017000,0.000000,-0.031000,0.000000
10.567,0.088000,2.224000,0.533000,2.537000,0.230000,1.291000,0.562000,0.705000,3.361000,1.018000,1.082000,0.061000,-0.031000,0.000000
10.626,0.219000,2.258000,0.598000,2.537000,0.255000,1.193000,0.562000,0.640000,3.361000,0.920000,1.082000,0.000000,0.000000,-0.031000
10.715,0.120000,2.258000,0.567000,2.571000,0.321000,1.225000,0.660000,0.640000,3.454000,0.953000,1.147000,-0.031000,0.000000,0.000000
